Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR3471649,RNA-Seq,100,3147201400,PRJNA320361,SAMN04932985,2255637103,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739007,GSM2141264,AF35,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:47:00Z,1,GSM2141264,Macrophages,SRP074274,2 hr
SRR3471650,RNA-Seq,100,2649632300,PRJNA320361,SAMN04932953,1901158605,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739008,GSM2141265,AF35,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:57:00Z,1,GSM2141265,Macrophages,SRP074274,2 hr
SRR3471651,RNA-Seq,100,2524371400,PRJNA320361,SAMN04932954,1708347758,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739009,GSM2141266,AF37,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:55:00Z,1,GSM2141266,Macrophages,SRP074274,2 hr
SRR3471652,RNA-Seq,100,3711810700,PRJNA320361,SAMN04932955,2530268632,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739010,GSM2141267,AF37,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:52:00Z,1,GSM2141267,Macrophages,SRP074274,2 hr
SRR3471653,RNA-Seq,100,2367060700,PRJNA320361,SAMN04932956,1603688996,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739011,GSM2141268,AF37,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:45:00Z,1,GSM2141268,Macrophages,SRP074274,2 hr
SRR3471654,RNA-Seq,100,2283247900,PRJNA320361,SAMN04932957,1642304572,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739012,GSM2141269,AF39,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:43:00Z,1,GSM2141269,Macrophages,SRP074274,2 hr
SRR3471655,RNA-Seq,100,4167923800,PRJNA320361,SAMN04932958,2975735884,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739013,GSM2141270,AF39,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:00:00Z,1,GSM2141270,Macrophages,SRP074274,2 hr
SRR3471656,RNA-Seq,100,2396444900,PRJNA320361,SAMN04932959,1712379213,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739014,GSM2141271,AF39,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:56:00Z,1,GSM2141271,Macrophages,SRP074274,2 hr
SRR3471657,RNA-Seq,100,4107289200,PRJNA320361,SAMN04932901,2828974835,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739015,GSM2141272,AF41,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:56:00Z,1,GSM2141272,Macrophages,SRP074274,2 hr
SRR3471658,RNA-Seq,100,3161128900,PRJNA320361,SAMN04932902,2181480497,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739016,GSM2141273,AF41,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:58:00Z,1,GSM2141273,Macrophages,SRP074274,2 hr
SRR3471659,RNA-Seq,100,2289283000,PRJNA320361,SAMN04932903,1583131188,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739017,GSM2141274,AF41,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:52:00Z,1,GSM2141274,Macrophages,SRP074274,2 hr
